"문제 ID","난이도","문제 설명","풀이 단계 번호","풀이 단계 설명","관점 분류","분류에 대한 설명"
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","1","√2a + √3b + √5c = 0이라고 가정한다.","특수가정","문제에서 주어진 조건을 바탕으로 풀이를 시작하는 가정으로 전체를 볼 필요가 없음."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","2","양변에서 √5c를 우변으로 옮겨, √2a + √3b = -√5c로 만든다.","가정이 아닌 관점","문제 풀이를 위한 단순한 식 변형."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","3","양변을 제곱하여 2a^2 + 2√6ab + 3b^2 = 5c^2을 얻는다.","가정이 아닌 관점","문제 해결을 위한 연산적 전개로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","4","제곱 후, 2a^2 + 3b^2 - 5c^2 + 2ab√6 = 0이 됨을 확인한다.","가정이 아닌 관점","연산적 결과를 확인하는 과정으로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","5","a, b, c가 유리수이므로 2a^2 + 3b^2 - 5c^2 = 0이고 ab = 0임을 확인한다.","가정이 아닌 관점","유리수 조건을 활용하여 필요한 조건만으로 풀이를 간소화하는 과정."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","6","ab = 0에서 a = 0 또는 b = 0임을 고려한다.","가정이 아닌 관점","ab = 0을 해석하여 각 경우를 확인하는 과정."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","7","a = 0인 경우를 가정한다.","일반가정","a = 0일 때를 가정하여 경우를 나누는 과정으로, 다른 경우도 확인해야 함."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","8","a = 0일 때, b + √(5/3)c = 0이라는 결과를 얻는다.","가정이 아닌 관점","a = 0일 때 나오는 단순 결과 확인으로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","9","b와 c는 유리수이므로 b = 0이고 c = 0임을 확인한다.","가정이 아닌 관점","유리수 조건을 활용하여 b = 0, c = 0임을 보임."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","10","b = 0일 경우를 가정한다.","일반가정","b = 0일 때를 가정하여 경우를 나누는 과정으로, 다른 경우도 확인해야 함."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","11","b = 0일 때, a + √(5/2)c = 0이라는 결과를 얻는다.","가정이 아닌 관점","b = 0일 때 나오는 단순 결과 확인으로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","12","a와 c는 유리수이므로 a = 0이고 c = 0임을 확인한다.","가정이 아닌 관점","유리수 조건을 활용하여 a = 0, c = 0임을 보임."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","13","(i)와 (ii)로부터 a = 0, b = 0, c = 0임을 결론 내린다.","가정이 아닌 관점","두 가지 결과를 종합하여 최종 결론을 내리는 과정."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","14","역으로 a = 0, b = 0, c = 0이면 원래 식이 성립함을 확인한다.","가정이 아닌 관점","필요충분 조건을 만족함을 확인하는 과정."
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","1","x < -1 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","2","x = -2를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","3","x = -2가 주어진 범위에 적합함을 확인","가정이 아닌 관점","단순히 x = -2가 x < -1 범위에 속하는지 확인"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","4","-1 ≤ x < 1/2 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","5","해가 없음을 보임","가정이 아닌 관점","단순히 방정식을 풀어 해가 없음을 확인"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","6","x ≥ 1/2 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","7","x = 3/4를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","8","x = 3/4가 주어진 범위에 적합함을 확인","가정이 아닌 관점","단순히 x = 3/4가 x ≥ 1/2 범위에 속하는지 확인"
"7-1-1","중","다음 x에 관한 방정식을 풀어라. |x+1|+2|1-2x|=5-3x","9","방정식의 해는 x = -2, 3/4","가정이 아닌 관점","구해진 해를 단순히 나열하는 것으로 가정이 필요없음"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","1","-1<x<0 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","2","[x]=-1이므로 x=-5를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","3","x=-5가 주어진 범위에 적합하지 않음을 확인","가정이 아닌 관점","단순히 x=-5가 -1<x<0 범위에 속하지 않음을 확인"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","4","0≤x<1 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","5","[x]=0이므로 해가 없음을 보임","가정이 아닌 관점","단순히 방정식을 풀어 해가 없음을 확인"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","6","1≤x<2 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","7","[x]=1이므로 x=5를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","8","x=5가 주어진 범위에 적합하지 않음을 확인","가정이 아닌 관점","단순히 x=5가 1≤x<2 범위에 속하지 않음을 확인"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","9","2≤x<3 인 경우를 가정","일반가정","x의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","10","[x]=2이므로 x=5/2를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","11","x=5/2가 주어진 범위에 적합함을 확인","가정이 아닌 관점","단순히 x=5/2가 2≤x<3 범위에 속함을 확인"
"7-1-2","중","다음 x에 관한 방정식을 풀어라. x[x]=5 (단, -1<x<3)","12","방정식의 해는 x=5/2","가정이 아닌 관점","구해진 해를 단순히 나열하는 것으로 가정이 필요없음"
"7-6-1","중","다음 방정식을 풀어라. |x^2-3|x|+1|=1","1","x^2=|x|^2 임을 이용하여 |x|^2-3|x|+1=±1로 변형","가정이 아닌 관점","단순히 절댓값의 성질을 이용한 식 변형 과정"
"7-6-1","중","다음 방정식을 풀어라. |x^2-3|x|+1|=1","2","|x|^2-3|x|+1=1인 경우를 가정","일반가정","두 가지 경우 중 하나를 가정하고 전체해의 존재여부를 봐야함"
"7-6-1","중","다음 방정식을 풀어라. |x^2-3|x|+1|=1","3","|x|=0 또는 3을 구하고 x=0,±3을 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-6-1","중","다음 방정식을 풀어라. |x^2-3|x|+1|=1","4","|x|^2-3|x|+1=-1인 경우를 가정","일반가정","두 가지 경우 중 하나를 가정하고 전체해의 존재여부를 봐야함"
"7-6-1","중","다음 방정식을 풀어라. |x^2-3|x|+1|=1","5","|x|=1 또는 2를 구하고 x=±1,±2를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-6-1","중","다음 방정식을 풀어라. |x^2-3|x|+1|=1","6","방정식의 해는 x=0,±1,±2,±3","가정이 아닌 관점","구해진 모든 해를 단순히 나열하는 것으로 가정이 필요없음"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","1","[x^2]=x^2-α(0≤α<1)로 놓고 α=2-x^2를 구함","가정이 아닌 관점","가우스 기호의 성질을 이용한 단순 변형 과정"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","2","0≤2-x^2<1로부터 1<x^2≤2를 구함","가정이 아닌 관점","단순히 부등식을 변형하여 x^2의 범위를 구하는 과정"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","3","1<x^2<2인 경우를 가정","일반가정","x^2의 범위를 가정하고 전체해의 존재여부를 봐야함"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","4","[x^2]=1을 대입하여 x=±√6/2를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","5","x^2=2인 경우를 가정","일반가정","x^2의 값을 가정하고 전체해의 존재여부를 봐야함"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","6","[x^2]=2를 대입하여 x=±√2를 구함","가정이 아닌 관점","단순히 방정식을 풀어 해를 구하는 과정"
"7-6-2","중","다음 방정식을 풀어라. 2x^2-[x^2]=2","7","방정식의 해는 x=±√6/2,±√2","가정이 아닌 관점","구해진 모든 해를 단순히 나열하는 것으로 가정이 필요없음"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","1","ω가 x^2+x+1=0의 근임을 이용","가정이 아닌 관점","주어진 조건을 단순히 확인하는 과정"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","2","(ω-1)(ω^2+ω+1)=0으로부터 ω^3=1을 도출","가정이 아닌 관점","단순한 대수적 조작 과정"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","3","n=3k (k는 양의 정수)인 경우를 가정","일반가정","n을 3으로 나눈 나머지에 따라 경우를 나누고 전체를 봐야함"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","4","n=3k일 때 f(n)=1/2임을 보임","가정이 아닌 관점","단순한 대입과 계산 과정"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","5","n=3k+1 (k는 음이 아닌 정수)인 경우를 가정","일반가정","n을 3으로 나눈 나머지에 따라 경우를 나누고 전체를 봐야함"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","6","n=3k+1일 때 f(n)=-1임을 보임","가정이 아닌 관점","단순한 대입과 계산 과정"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","7","n=3k+2 (k는 음이 아닌 정수)인 경우를 가정","일반가정","n을 3으로 나눈 나머지에 따라 경우를 나누고 전체를 봐야함"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","8","n=3k+2일 때 f(n)=-1임을 보임","가정이 아닌 관점","단순한 대입과 계산 과정"
"7-7","상","이차방정식 x^2+x+1=0의 한 근을 ω라고 하자. 자연수 n에 대하여 f(n)=ω^(2n)/(ω^n+1)이라고 할 때, f(1)+f(2)+f(3)+...+f(20)의 값을 구하여라.","9","f(1)부터 f(20)까지의 합을 계산하여 -11을 구함","가정이 아닌 관점","앞에서 구한 결과들을 이용한 단순 계산 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","1","α+β+γ=0에서 γ=-(α+β)를 구함","가정이 아닌 관점","단순히 γ에 대해 식을 정리하는 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","2","γ=-(α+β)를 α^2+β^2+γ^2=0에 대입하여 α^2+αβ+β^2=0을 얻음","가정이 아닌 관점","대입을 통한 단순한 식 변형 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","3","양변을 α^2으로 나누어 1+(β/α)+(β/α)^2=0을 얻음","가정이 아닌 관점","단순한 식 변형 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","4","근의 공식으로 β/α=(-1±√3i)/2를 구함","가정이 아닌 관점","이차방정식의 해를 구하는 계산 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","5","conjugate(γ/β)=-conjugate(α/β)-1을 구함","가정이 아닌 관점","복소수의 성질을 이용한 식 변형 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","6","β/α=(-1+√3i)/2인 경우를 가정","일반가정","β/α의 두 값 중 하나를 가정하고 전체를 봐야함"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","7","conjugate(α/β)=β/α임을 보임","가정이 아닌 관점","복소수 계산을 통한 결과 도출 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","8","β/α=(-1-√3i)/2인 경우를 가정","일반가정","β/α의 두 값 중 나머지 하나를 가정하고 전체를 봐야함"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","9","conjugate(α/β)=β/α임을 같은 방법으로 보임","가정이 아닌 관점","복소수 계산을 통한 결과 도출 과정"
"7-9","상","0이 아닌 세 복소수 α,β,γ가 α+β+γ=0, α^2+β^2+γ^2=0을 만족할 때, β/α+conjugate(γ/β)의 값을 구하여라.","10","β/α+conjugate(γ/β)=-1임을 도출","가정이 아닌 관점","최종 결과를 얻기 위한 단순 계산 과정"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","1","c,d는 각각 3개의 양의 약수를 가지므로 제곱수 형태임을 파악","가정이 아닌 관점","문제의 조건을 해석하여 c,d의 형태를 파악하는 과정"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","2","100 이하의 소수의 제곱수를 나열","가정이 아닌 관점","단순히 가능한 값들을 나열하는 과정"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","3","c<d라고 가정","특수가정","c와 d는 문제에서 주어진 변수로, 서로 교환해도 문제가 변하지 않으므로 c>d를 본 상태에서 답을 구한 뒤 교환하면 자동으로 c<d가 보임"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","4","가능한 (c,d) 쌍을 나열","가정이 아닌 관점","가능한 모든 경우를 표로 정리하는 과정"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","5","f(c)=f(d)=0이므로 c+d=a, cd=b임을 확인","가정이 아닌 관점","이차방정식의 근과 계수의 관계를 이용한 단순 확인"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","6","각 (c,d) 쌍에 대해 a,b가 100 이하인 경우를 확인","가정이 아닌 관점","조건을 만족하는 경우를 찾는 단순 계산 과정"
"9-16","중","다항식 f(x)=x^2-ax+b가 세 조건을 만족할 때, a+b+c+d의 값을 구하여라. (가)f(c)=f(d)=0 (나)a,b,c,d는 100 이하의 서로 다른 자연수이다. (다)c,d는 각각 3개의 양의 약수를 가진다.","7","조건을 만족하는 두 경우에 대해 a+b+c+d 값을 계산","가정이 아닌 관점","단순한 덧셈 계산 과정"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","1","두 정수근을 α,β(α≤β)라고 가정","특수가정","α,β는 이차방정식의 두 근이라는 조건에서 생겨났고, α≥β로 문제를 다 풀고 α,β를 교환하면 자동으로 나머지 경우가 따져지므로 전체를 볼 필요가 없음"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","2","α+β=4a, αβ=ab/3을 구함","가정이 아닌 관점","근과 계수의 관계를 이용한 단순 계산"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","3","αβ가 정수이고 a,b가 소수이므로 a=3 또는 b=3임을 파악","가정이 아닌 관점","주어진 조건으로부터 가능한 경우를 파악하는 과정"
