"문제 ID","난이도","문제 설명","풀이 단계 번호","풀이 단계 설명","관점 분류","분류에 대한 설명"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","4","a=3인 경우를 가정","일반가정","a=3 또는 b=3 중 하나를 가정하고 전체를 봐야함"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","5","α=1, β=b를 구하고 b=11을 도출","가정이 아닌 관점","방정식을 풀어 해를 구하는 과정"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","6","b=3인 경우를 가정","일반가정","a=3 또는 b=3 중 나머지를 가정하고 전체를 봐야함"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","7","α=1, β=a를 구하고 a=1/3으로 부적합함을 확인","가정이 아닌 관점","방정식을 풀어 해가 조건에 맞지 않음을 보임"
"9-21","중","소수 a,b에 대하여 x에 관한 이차방정식 3x^2-12ax+ab=0이 정수 근 두 개를 가진다. a,b의 값과 두 정수근을 구하여라.","8","a=3, b=11이고 두 정수근은 1,11임을 확인","가정이 아닌 관점","최종 결과를 정리하는 과정"
"14-11","상","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} > 1$ 을 만족하는 $p, q, r$ 의 쌍의 개수를 구하여라. 단, $p, q, r$ 는 2 이상인 서로 다른 자연수이다.","1","$p < q < r$ 라고 가정하여 경우의 수를 단순화합니다.","특수가정","특정 순서를 가정하여 계산 후, 다른 순서로 교환하면 동일한 결과가 포함되므로 전체를 볼 필요가 없음."
"14-11","상","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} > 1$ 을 만족하는 $p, q, r$ 의 쌍의 개수를 구하여라. 단, $p, q, r$ 는 2 이상인 서로 다른 자연수이다.","2","$p \geq 3$ 이면 $\frac{1}{p} + \frac{1}{q} + \frac{1}{r} < \frac{1}{3} + \frac{1}{3} + \frac{1}{3} = 1$ 이므로 조건을 만족하지 않음을 확인.","일반가정","전체 조건을 통해 가능성을 배제하는 과정으로, 외계를 볼 필요가 있음."
"14-11","상","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} > 1$ 을 만족하는 $p, q, r$ 의 쌍의 개수를 구하여라. 단, $p, q, r$ 는 2 이상인 서로 다른 자연수이다.","3","$p = 2$로 설정하여 $\frac{1}{2} + \frac{1}{q} + \frac{1}{r} > 1$ 임을 확인합니다.","특수가정","특정 값을 가정하여 외계를 볼 필요 없이 경우를 단순화함."
"14-11","상","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} > 1$ 을 만족하는 $p, q, r$ 의 쌍의 개수를 구하여라. 단, $p, q, r$ 는 2 이상인 서로 다른 자연수이다.","4","$\frac{1}{q} + \frac{1}{r} > \frac{1}{2}$ 를 만족하도록 $q$ 와 $r$ 에 대한 식을 전개하여 $(q-2)(r-2) < 4$ 임을 확인.","가정이 아닌 관점","조건을 수식으로 전개하여 범위를 찾는 과정으로 가정이 아님."
"14-11","상","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} > 1$ 을 만족하는 $p, q, r$ 의 쌍의 개수를 구하여라. 단, $p, q, r$ 는 2 이상인 서로 다른 자연수이다.","5","조건 $3 \leq q < r$을 만족하는 가능한 $(q, r)$ 쌍을 구하여 $(q, r) = (3, 4), (3, 5)$를 찾음.","가정이 아닌 관점","가능한 값을 도출하여 유리한 경우를 찾는 계산 과정으로 가정이 아님."
"14-11","상","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} > 1$ 을 만족하는 $p, q, r$ 의 쌍의 개수를 구하여라. 단, $p, q, r$ 는 2 이상인 서로 다른 자연수이다.","6","각 경우에 대해 순서를 바꾸는 방법이 6개 있으므로 구하는 쌍의 개수를 $2 \times 6 = 12$로 계산.","가정이 아닌 관점","순열을 통해 가능한 경우의 수를 산출하는 과정으로 가정이 아님."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","1","$f(x)=0, g(x)=0$ 의 판별식을 각각 $D_1, D_2$ 라고 정의합니다.","가정이 아닌 관점","두 함수의 판별식을 이용하여 해를 구하는 준비 과정이므로 가정이 아님."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","2","판별식 $D_1 / 4 = a^2 - 1 > 0$, $D_2 / 4 = 1 - a > 0$ 을 구하고 $a < -1$ 임을 확인.","가정이 아닌 관점","연산 과정을 통해 변수의 범위를 확인하는 과정으로 가정이 아님."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","3","두 포물선의 축의 방정식을 비교하여 $-a > -1$ 인 조건을 구하고, 이를 통해 $a < 1$ 임을 도출.","가정이 아닌 관점","포물선의 축을 이용하여 추가 조건을 구하는 연산 과정으로 가정이 아님."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","4","두 포물선의 교점의 $y$ 좌표가 양수임을 확인하기 위해 $f(x) = g(x)$를 풀어 $x=\frac{1}{2}$에서의 값을 구함.","가정이 아닌 관점","교점에서의 값을 계산하여 $y$ 좌표가 양수임을 확인하는 연산 과정."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","5","$f(\frac{1}{2}) = g(\frac{1}{2}) = a + \frac{5}{4} > 0$에서 $a > -\frac{5}{4}$ 임을 구함.","가정이 아닌 관점","연산을 통해 $a$의 추가적인 범위를 확인하는 과정."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","6","모든 조건을 종합하여 $-\frac{5}{4} < a < -1$ 임을 구함.","가정이 아닌 관점","모든 범위를 종합하여 최종적으로 답을 구하는 과정으로 가정이 아님."
"10-22","상","$f(x)=x^2+2 a x+1, g(x)=x^2+2 x+a$ 일 때, 두 포물선 $y=f(x)$, $y=g(x)$ 가 각각 $x$ 축과 서로 다른 두 점에서 만난다. 방정식 $f(x)=0$ 의 두 근이 모두 방정식 $g(x)=0$ 의 두 근보다 크기 위한 실수 $a$ 의 값의 범위를 구하여라.","7","$a = 1$이면 $f(x) = g(x)$가 되어 주어진 조건에 맞지 않으므로 $a \neq 1$임을 확인.","가정이 아닌 관점","특정 값에서 조건을 만족하지 않는다는 것을 확인하는 추가 연산."
"14-5-3","중","실수 a,b,c의 최댓값을 max{a,b,c}, 최솟값을 min{a,b,c}로 나타낼 때, max{a,b,c}+max{min{b,c},min{c,a},min{a,b}}+min{a,b,c}를 a,b,c를 써서 간단히 나타내어라.","1","a≤b≤c라고 가정","특수가정","a,b,c의 순서는 서로 교환 가능하므로 한 가지 순서만 보고 나머지는 자동으로 따라옴"
"14-5-3","중","실수 a,b,c의 최댓값을 max{a,b,c}, 최솟값을 min{a,b,c}로 나타낼 때, max{a,b,c}+max{min{b,c},min{c,a},min{a,b}}+min{a,b,c}를 a,b,c를 써서 간단히 나타내어라.","2","주어진 식을 max{b,a,a}+c+a로 변형","가정이 아닌 관점","주어진 가정에서의 단순한 식 변형 과정"
"14-5-3","중","실수 a,b,c의 최댓값을 max{a,b,c}, 최솟값을 min{a,b,c}로 나타낼 때, max{a,b,c}+max{min{b,c},min{c,a},min{a,b}}+min{a,b,c}를 a,b,c를 써서 간단히 나타내어라.","3","식을 a+b+c로 정리","가정이 아닌 관점","변형된 식을 단순화하는 과정"
"14-5-3","중","실수 a,b,c의 최댓값을 max{a,b,c}, 최솟값을 min{a,b,c}로 나타낼 때, max{a,b,c}+max{min{b,c},min{c,a},min{a,b}}+min{a,b,c}를 a,b,c를 써서 간단히 나타내어라.","4","다른 순서의 경우에도 같은 결과가 나옴을 언급","가정이 아닌 관점","처음 가정한 순서가 아닌 경우에도 동일한 결과가 나옴을 확인"
"14-5-3","중","실수 a,b,c의 최댓값을 max{a,b,c}, 최솟값을 min{a,b,c}로 나타낼 때, max{a,b,c}+max{min{b,c},min{c,a},min{a,b}}+min{a,b,c}를 a,b,c를 써서 간단히 나타내어라.","5","최종적으로 주어진 식은 a+b+c임을 결론","가정이 아닌 관점","모든 경우에 대한 결과를 종합하여 최종 결론 도출"
"3-26-1","중","삼각형 ABC에서 tanA+tanB+tanC=tanA tanB tanC가 성립함을 보여라.","1","A+B+C=π임을 이용","가정이 아닌 관점","삼각형의 기본 성질을 활용하는 과정"
"3-26-1","중","삼각형 ABC에서 tanA+tanB+tanC=tanA tanB tanC가 성립함을 보여라.","2","tanC = -tan(A+B) 변형","가정이 아닌 관점","삼각함수의 성질을 이용한 단순 변형"
"3-26-1","중","삼각형 ABC에서 tanA+tanB+tanC=tanA tanB tanC가 성립함을 보여라.","3","-tan(A+B) = -(tanA+tanB)/(1-tanA tanB) 적용","가정이 아닌 관점","탄젠트의 덧셈정리 적용 과정"
"3-26-1","중","삼각형 ABC에서 tanA+tanB+tanC=tanA tanB tanC가 성립함을 보여라.","4","식을 전개하여 최종 결과 도출","가정이 아닌 관점","대수적 조작을 통한 증명 완성"
"3-26-2","중","삼각형 ABC에서 tanA, tanB, tanC가 모두 자연수일 때, tanA tanB tanC의 값을 구하여라.","1","A≤B≤C라고 가정","특수가정","순서 교환이 가능하므로 한 가지 순서만 고려하면 됨"
"3-26-2","중","삼각형 ABC에서 tanA, tanB, tanC가 모두 자연수일 때, tanA tanB tanC의 값을 구하여라.","2","0<A≤π/3임을 도출","가정이 아닌 관점","삼각형의 성질과 가정으로부터의 논리적 전개"
"3-26-2","중","삼각형 ABC에서 tanA, tanB, tanC가 모두 자연수일 때, tanA tanB tanC의 값을 구하여라.","3","0<tanA≤√3이고 tanA가 자연수이므로 tanA=1임을 도출","가정이 아닌 관점","조건을 이용한 값 결정 과정"
"3-26-2","중","삼각형 ABC에서 tanA, tanB, tanC가 모두 자연수일 때, tanA tanB tanC의 값을 구하여라.","4","(tanB-1)(tanC-1)=2 도출","가정이 아닌 관점","대수적 조작을 통한 방정식 도출"
"3-26-2","중","삼각형 ABC에서 tanA, tanB, tanC가 모두 자연수일 때, tanA tanB tanC의 값을 구하여라.","5","tanB=2, tanC=3임을 결정","가정이 아닌 관점","조건을 만족하는 값 결정 과정"
"3-26-2","중","삼각형 ABC에서 tanA, tanB, tanC가 모두 자연수일 때, tanA tanB tanC의 값을 구하여라.","6","tanA tanB tanC=6 계산","가정이 아닌 관점","최종 결과 계산 과정"
"9-7","중","다음 x에 관한 이차방정식의 두 근이 모두 정수가 되도록 정수 m의 값을 정하여라. x^2+(m-1)x+m+1=0","1","두 정수근을 α,β(α≥β)라고 가정","특수가정","α,β는 서로 교환 가능하므로 α≥β로 한 경우만 보면 나머지는 자동으로 따라옴"
"9-7","중","다음 x에 관한 이차방정식의 두 근이 모두 정수가 되도록 정수 m의 값을 정하여라. x^2+(m-1)x+m+1=0","2","근과 계수의 관계로부터 α+β=-m+1, αβ=m+1 도출","가정이 아닌 관점","이차방정식의 근과 계수의 관계를 이용한 식 도출"
"9-7","중","다음 x에 관한 이차방정식의 두 근이 모두 정수가 되도록 정수 m의 값을 정하여라. x^2+(m-1)x+m+1=0","3","두 식을 더해 (α+1)(β+1)=3 도출","가정이 아닌 관점","m을 소거하기 위한 대수적 조작"
"9-7","중","다음 x에 관한 이차방정식의 두 근이 모두 정수가 되도록 정수 m의 값을 정하여라. x^2+(m-1)x+m+1=0","4","α+1,β+1이 정수이고 α+1≥β+1임을 이용하여 가능한 값 찾기","가정이 아닌 관점","조건을 만족하는 정수값 탐색 과정"
"9-7","중","다음 x에 관한 이차방정식의 두 근이 모두 정수가 되도록 정수 m의 값을 정하여라. x^2+(m-1)x+m+1=0","5","α=2,β=0 또는 α=-2,β=-4 도출","가정이 아닌 관점","가능한 근의 값들 결정"
"9-7","중","다음 x에 관한 이차방정식의 두 근이 모두 정수가 되도록 정수 m의 값을 정하여라. x^2+(m-1)x+m+1=0","6","m=-1,7 도출","가정이 아닌 관점","구한 값을 원래 식에 대입하여 최종 답 도출"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","1","p<q<r라고 가정","특수가정","가정하고 문제를 푼 후 구한 해들의 순서를 교환하면 나머지 경우가 자동으로 따져지므로 전체를 볼 필요가 없음"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","2","p≥3인 경우를 가정","일반가정","p의 범위를 가정하고 이 경우의 성립 여부를 봐야함"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","3","p≥3이면 1/p+1/q+1/r<1/3+1/3+1/3=1임을 보임","가정이 아닌 관점","가정한 경우에서 부등식이 성립하지 않음을 계산으로 증명"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","4","p=2임을 도출","가정이 아닌 관점","p≥2 조건과 앞의 결과를 종합하여 p값 결정"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","5","(q-2)(r-2)<4 도출","가정이 아닌 관점","부등식의 변형을 통한 새로운 조건 도출"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","6","q=3,r=4 또는 q=3,r=5임을 도출","가정이 아닌 관점","조건을 만족하는 q,r값 찾기"
"14-11","중","부등식 1/p+1/q+1/r>1을 만족하는 p,q,r의 쌍의 개수를 구하여라. 단, p,q,r는 2 이상인 서로 다른 자연수이다.","7","순서를 바꾸어 전체 12개의 경우 도출","가정이 아닌 관점","구한 해의 순서를 바꾸어 모든 경우의 수 계산"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","1","곡선 y=1/3x^3-x와 직선 y=k가 만나는 점의 x좌표가 α,β,γ임을 파악","가정이 아닌 관점","방정식의 기하학적 해석"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","2","f(x)=1/3x^3-x의 도함수 f'(x)=x^2-1 계산","가정이 아닌 관점","함수의 미분을 통한 성질 파악"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","3","α<β<γ라고 가정","특수가정","세 근의 순서를 정해서 문제를 풀고 값들을 서로 교환하면 절댓값의 성질에 의해 같은 문제가 되서 자동으로 따라옴"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","4","k≥0이라고 가정","특수가정","곡선이 원점대칭이므로 k≥0으로 문제를 풀면 k<0인 경우는 대칭성에 의해 자동으로 따라옴"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","5","α<β≤0<γ임을 파악하여 |α|+|β|+|γ|=-α-β+γ로 변형","가정이 아닌 관점","근들의 부호 관계를 이용한 절댓값 처리"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","6","근과 계수의 관계로부터 α+β+γ=0임을 이용","가정이 아닌 관점","삼차방정식의 성질 활용"
"7-13","중","x에 관한 삼차방정식 1/3x^3-x=k가 서로 다른 세 실근 α,β,γ를 가진다. k가 실수일 때, |α|+|β|+|γ|의 최솟값을 구하여라.","7","k≥0일 때 γ≥√3임을 보이고 최솟값 2√3 도출","가정이 아닌 관점","최솟값 계산 과정"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","1","조건 (가)로부터 d=0,1,2,3의 4가지 경우만 가능함을 파악","가정이 아닌 관점","음이 아닌 정수 조건으로부터 d의 가능한 값 도출"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","2","조건 (나)에서 2^a×4^b=2^(a+2b)가 8의 배수이므로 a+2b≥3임을 도출","가정이 아닌 관점","지수법칙과 8의 배수 조건을 이용한 부등식 도출"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","3","d=0인 경우를 가정","일반가정","d의 각 값에 대해 따로 계산해야 하므로 전체를 봐야함"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","4","d=0일 때 순서쌍의 개수 계산","가정이 아닌 관점","중복조합을 이용한 계산 과정"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","5","d=1인 경우를 가정","일반가정","d의 각 값에 대해 따로 계산해야 하므로 전체를 봐야함"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","6","d=1일 때 순서쌍의 개수 계산","가정이 아닌 관점","중복조합을 이용한 계산 과정"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","7","d=2인 경우를 가정","일반가정","d의 각 값에 대해 따로 계산해야 하므로 전체를 봐야함"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","8","d=2일 때 순서쌍의 개수 계산","가정이 아닌 관점","중복조합을 이용한 계산 과정"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","9","d=3인 경우를 가정하고 불가능함을 확인","일반가정","d의 마지막 경우를 확인하고 전체를 봐야함"
"3-30","중","다음 두 조건을 만족시키는 음이 아닌 정수 a,b,c,d의 순서쌍 (a,b,c,d)의 개수를 구하여라. (가)a+b+c+3d=10 (나)2^a×4^b은 8의 배수이다.","10","모든 경우의 개수를 더해 105 도출","가정이 아닌 관점","각 경우의 개수를 합하여 최종 결과 계산"